file,site_id,year,high_rh_count,low_rh_count,median_pm25_high_rh,median_pm25_low_rh,high_low_ratio,suspected_humidity_bias
Raw_data_1Hr_2011_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2011,215,1365,78.5,61.5,1.2764227642276422,False
Raw_data_1Hr_2011_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2011,622,936,64.14500000000001,78.94,0.8125791740562454,False
Raw_data_1Hr_2011_site_125_Punjabi_Bagh_Delhi_DPCC_1Hr.csv,125,2011,447,1004,58.83,102.75,0.5725547445255474,False
Raw_data_1Hr_2012_site_114_IHBAS_Dilshad_Garden_Delhi_CPCB_1Hr.csv,114,2012,1115,3544,190.18,241.10000000000002,0.7888013272501037,False
Raw_data_1Hr_2012_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2012,545,3276,126.33,92.17,1.3706195074319192,False
Raw_data_1Hr_2012_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2012,372,3077,199.33499999999998,112.0,1.7797767857142854,True
Raw_data_1Hr_2012_site_125_Punjabi_Bagh_Delhi_DPCC_1Hr.csv,125,2012,424,3534,87.08,124.5,0.6994377510040161,False
Raw_data_1Hr_2013_site_114_IHBAS_Dilshad_Garden_Delhi_CPCB_1Hr.csv,114,2013,1933,2895,148.44,186.62,0.7954131389990354,False
Raw_data_1Hr_2013_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2013,238,553,244.16500000000002,90.88,2.6866747359154934,True
Raw_data_1Hr_2013_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2013,278,753,221.0,99.5,2.221105527638191,True
Raw_data_1Hr_2013_site_125_Punjabi_Bagh_Delhi_DPCC_1Hr.csv,125,2013,152,652,119.66499999999999,100.08500000000001,1.1956337113453563,False
Raw_data_1Hr_2014_site_114_IHBAS_Dilshad_Garden_Delhi_CPCB_1Hr.csv,114,2014,1592,3529,191.285,171.99,1.1121867550438977,False
Raw_data_1Hr_2015_site_113_Shadipur_Delhi_CPCB_1Hr.csv,113,2015,1237,3434,68.9,76.53,0.9003005357376193,False
Raw_data_1Hr_2015_site_114_IHBAS_Dilshad_Garden_Delhi_CPCB_1Hr.csv,114,2015,1021,1899,159.47,77.45,2.059005810200129,True
Raw_data_1Hr_2015_site_115_NSIT_Dwarka_Delhi_CPCB_1Hr.csv,115,2015,265,2293,87.16,65.47,1.3312967771498396,False
Raw_data_1Hr_2015_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2015,427,2899,48.0,67.67,0.7093246638096645,False
Raw_data_1Hr_2015_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2015,200,3214,55.0,82.83,0.6640106241699867,False
Raw_data_1Hr_2015_site_125_Punjabi_Bagh_Delhi_DPCC_1Hr.csv,125,2015,182,3220,73.91499999999999,91.41499999999999,0.8085653339167532,False
Raw_data_1Hr_2016_site_113_Shadipur_Delhi_CPCB_1Hr.csv,113,2016,1568,3367,65.215,131.9,0.4944275966641395,False
Raw_data_1Hr_2016_site_114_IHBAS_Dilshad_Garden_Delhi_CPCB_1Hr.csv,114,2016,942,2741,93.245,102.96,0.9056429681429683,False
Raw_data_1Hr_2016_site_115_NSIT_Dwarka_Delhi_CPCB_1Hr.csv,115,2016,864,3154,128.075,107.38499999999999,1.1926712296875728,False
Raw_data_1Hr_2016_site_118_DTU_Delhi_CPCB_1Hr.csv,118,2016,410,462,326.875,205.835,1.588043821507518,True
Raw_data_1Hr_2016_site_119_Sirifort_Delhi_CPCB_1Hr.csv,119,2016,425,504,269.2,161.95,1.6622414325409078,True
Raw_data_1Hr_2016_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2016,420,3124,195.66500000000002,63.83,3.065408115306283,True
Raw_data_1Hr_2016_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2016,303,4035,177.67,98.67,1.800648626735583,True
Raw_data_1Hr_2016_site_125_Punjabi_Bagh_Delhi_DPCC_1Hr.csv,125,2016,389,3467,34.67,70.67,0.4905900665062969,False
Raw_data_1Hr_2017_site_105_North_Campus_DU_Delhi_IMD_1Hr.csv,105,2017,524,187,172.18,188.3,0.9143919277748274,False
Raw_data_1Hr_2017_site_108_Aya_Nagar_Delhi_IMD_1Hr.csv,108,2017,110,424,131.89,136.305,0.9676094053776456,False
Raw_data_1Hr_2017_site_113_Shadipur_Delhi_CPCB_1Hr.csv,113,2017,1193,2105,58.76,112.76,0.521106775452288,False
Raw_data_1Hr_2017_site_114_IHBAS_Dilshad_Garden_Delhi_CPCB_1Hr.csv,114,2017,887,3096,80.6,75.88499999999999,1.062133491467352,False
Raw_data_1Hr_2017_site_115_NSIT_Dwarka_Delhi_CPCB_1Hr.csv,115,2017,228,772,124.00999999999999,102.91,1.20503352443883,False
Raw_data_1Hr_2017_site_118_DTU_Delhi_CPCB_1Hr.csv,118,2017,1713,2956,193.25,84.71000000000001,2.2813127139652933,True
Raw_data_1Hr_2017_site_119_Sirifort_Delhi_CPCB_1Hr.csv,119,2017,1647,3080,137.33,79.41499999999999,1.7292702889882268,True
Raw_data_1Hr_2017_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2017,925,3979,79.5,70.83,1.1224057602710715,False
Raw_data_1Hr_2017_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2017,375,3805,37.99,82.33,0.4614356856552897,False
Raw_data_1Hr_2018_site_105_North_Campus_DU_Delhi_IMD_1Hr.csv,105,2018,311,165,210.36,126.99,1.656508386487125,True
Raw_data_1Hr_2018_site_113_Shadipur_Delhi_CPCB_1Hr.csv,113,2018,1179,4425,58.3,92.0,0.633695652173913,False
Raw_data_1Hr_2018_site_114_IHBAS_Dilshad_Garden_Delhi_CPCB_1Hr.csv,114,2018,930,4594,67.07499999999999,84.39,0.7948216613342812,False
Raw_data_1Hr_2018_site_115_NSIT_Dwarka_Delhi_CPCB_1Hr.csv,115,2018,1048,5028,99.89,99.55,1.0034153691612255,False
Raw_data_1Hr_2018_site_118_DTU_Delhi_CPCB_1Hr.csv,118,2018,2038,3895,69.75,70.25,0.9928825622775801,False
Raw_data_1Hr_2018_site_119_Sirifort_Delhi_CPCB_1Hr.csv,119,2018,405,6639,220.0,65.67,3.350083752093802,True
