file,site_id,year,timestamp,pm25,pm10
Raw_data_1Hr_2015_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2015,2015-05-19 20:00:00,76.5,76.33
Raw_data_1Hr_2015_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2015,2015-05-19 21:00:00,33.17,30.17
Raw_data_1Hr_2015_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2015,2015-05-24 05:00:00,129.75,122.33
Raw_data_1Hr_2015_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2015,2015-06-14 09:00:00,40.0,36.67
Raw_data_1Hr_2015_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2015,2015-06-19 12:00:00,93.67,89.83
Raw_data_1Hr_2015_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2015,2015-06-19 13:00:00,97.5,93.0
Raw_data_1Hr_2015_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2015,2015-06-20 02:00:00,258.0,229.88
Raw_data_1Hr_2015_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2015,2015-06-20 03:00:00,242.67,152.62
Raw_data_1Hr_2015_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2015,2015-04-04 10:00:00,58.22,39.22
Raw_data_1Hr_2015_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2015,2015-04-04 18:00:00,79.17,31.0
Raw_data_1Hr_2015_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2015,2015-04-14 13:00:00,17.0,13.33
Raw_data_1Hr_2015_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2015,2015-04-17 05:00:00,42.5,37.17
Raw_data_1Hr_2015_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2015,2015-04-18 15:00:00,217.5,182.0
Raw_data_1Hr_2015_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2015,2015-04-18 16:00:00,985.0,189.33
Raw_data_1Hr_2015_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2015,2015-04-18 17:00:00,985.0,218.83
Raw_data_1Hr_2015_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2015,2015-04-23 16:00:00,138.0,121.33
Raw_data_1Hr_2015_site_125_Punjabi_Bagh_Delhi_DPCC_1Hr.csv,125,2015,2015-04-14 11:00:00,126.25,87.0
Raw_data_1Hr_2015_site_125_Punjabi_Bagh_Delhi_DPCC_1Hr.csv,125,2015,2015-06-02 23:00:00,101.0,72.33
Raw_data_1Hr_2015_site_125_Punjabi_Bagh_Delhi_DPCC_1Hr.csv,125,2015,2015-06-04 10:00:00,389.0,374.83
Raw_data_1Hr_2015_site_125_Punjabi_Bagh_Delhi_DPCC_1Hr.csv,125,2015,2015-06-13 17:00:00,30.33,27.67
Raw_data_1Hr_2015_site_125_Punjabi_Bagh_Delhi_DPCC_1Hr.csv,125,2015,2015-06-14 03:00:00,99.5,96.5
Raw_data_1Hr_2015_site_125_Punjabi_Bagh_Delhi_DPCC_1Hr.csv,125,2015,2015-06-14 09:00:00,45.33,30.0
Raw_data_1Hr_2015_site_125_Punjabi_Bagh_Delhi_DPCC_1Hr.csv,125,2015,2015-06-14 10:00:00,79.33,57.0
Raw_data_1Hr_2015_site_125_Punjabi_Bagh_Delhi_DPCC_1Hr.csv,125,2015,2015-06-15 18:00:00,212.5,209.67
Raw_data_1Hr_2015_site_301_Anand_Vihar_Delhi_DPCC_1Hr.csv,301,2015,2015-04-28 03:00:00,126.5,112.0
Raw_data_1Hr_2015_site_301_Anand_Vihar_Delhi_DPCC_1Hr.csv,301,2015,2015-04-28 05:00:00,175.0,109.5
Raw_data_1Hr_2015_site_301_Anand_Vihar_Delhi_DPCC_1Hr.csv,301,2015,2015-04-28 06:00:00,129.5,101.0
Raw_data_1Hr_2015_site_301_Anand_Vihar_Delhi_DPCC_1Hr.csv,301,2015,2015-04-28 19:00:00,751.83,379.83
Raw_data_1Hr_2015_site_301_Anand_Vihar_Delhi_DPCC_1Hr.csv,301,2015,2015-04-28 20:00:00,95.17,9.0
Raw_data_1Hr_2015_site_301_Anand_Vihar_Delhi_DPCC_1Hr.csv,301,2015,2015-05-01 04:00:00,678.5,259.0
Raw_data_1Hr_2015_site_301_Anand_Vihar_Delhi_DPCC_1Hr.csv,301,2015,2015-05-01 09:00:00,256.0,135.67
Raw_data_1Hr_2015_site_301_Anand_Vihar_Delhi_DPCC_1Hr.csv,301,2015,2015-05-01 10:00:00,244.62,178.0
Raw_data_1Hr_2016_site_117_ITO_Delhi_CPCB_1Hr.csv,117,2016,2016-11-17 13:00:00,107.0,104.0
Raw_data_1Hr_2016_site_117_ITO_Delhi_CPCB_1Hr.csv,117,2016,2016-11-20 22:00:00,180.5,178.75
Raw_data_1Hr_2016_site_117_ITO_Delhi_CPCB_1Hr.csv,117,2016,2016-11-20 23:00:00,191.25,186.5
Raw_data_1Hr_2016_site_117_ITO_Delhi_CPCB_1Hr.csv,117,2016,2016-11-21 01:00:00,220.5,218.25
Raw_data_1Hr_2016_site_117_ITO_Delhi_CPCB_1Hr.csv,117,2016,2016-11-21 02:00:00,216.0,204.75
Raw_data_1Hr_2016_site_117_ITO_Delhi_CPCB_1Hr.csv,117,2016,2016-11-21 03:00:00,210.5,199.25
Raw_data_1Hr_2016_site_117_ITO_Delhi_CPCB_1Hr.csv,117,2016,2016-11-21 05:00:00,200.5,197.25
Raw_data_1Hr_2016_site_117_ITO_Delhi_CPCB_1Hr.csv,117,2016,2016-11-21 06:00:00,197.25,177.75
Raw_data_1Hr_2016_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2016,2016-01-02 14:00:00,374.83,318.67
Raw_data_1Hr_2016_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2016,2016-02-09 14:00:00,205.0,195.33
Raw_data_1Hr_2016_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2016,2016-02-09 15:00:00,205.0,145.17
Raw_data_1Hr_2016_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2016,2016-02-09 16:00:00,205.0,134.0
Raw_data_1Hr_2016_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2016,2016-02-09 17:00:00,205.0,130.67
Raw_data_1Hr_2016_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2016,2016-02-09 18:00:00,205.0,174.5
Raw_data_1Hr_2016_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2016,2016-03-05 10:00:00,197.17,151.5
Raw_data_1Hr_2016_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2016,2016-04-29 07:00:00,285.0,215.0
Raw_data_1Hr_2016_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2016,2016-01-07 09:00:00,533.0,506.0
Raw_data_1Hr_2016_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2016,2016-01-23 01:00:00,538.33,192.0
Raw_data_1Hr_2016_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2016,2016-03-05 06:00:00,112.17,80.17
Raw_data_1Hr_2016_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2016,2016-03-06 15:00:00,163.83,90.0
Raw_data_1Hr_2016_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2016,2016-04-22 20:00:00,367.67,218.0
Raw_data_1Hr_2016_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2016,2016-04-27 14:00:00,161.17,147.0
